weight,bias
-6.435226922178336,-4.9349192690255945
1.6153259607066033,-4.9349192690255945
4.863527658757547,-4.9349192690255945
6.980279895857576,-4.9349192690255945
6.446744004603078,-4.9349192690255945
-0.020494661629506944,-4.9349192690255945
0.2196010512134854,-4.9349192690255945
-8.696576365823583,-4.9349192690255945
-0.010971070567052352,-4.9349192690255945
0.38326127526701176,-4.9349192690255945
0.44855660086911414,-4.9349192690255945
7.046182919658131,-4.9349192690255945
2.292357293872946,-4.9349192690255945
